rating,neg,neu,pos
7,-0.53184545,0.6192214,-0.0440272
10,-1.1195484,-0.347246,1.9182004
10,-0.12421866,0.33715022,-0.20795557
10,-2.5340319,0.12851578,2.7396328
10,-1.682061,0.4536087,1.4423971
9,-1.2856315,0.23426603,1.3034935
10,-0.48350233,-0.052796595,0.97404313
8,0.6506555,0.22627796,-0.9131643
7,-1.3587925,0.18709478,1.5308998
10,0.6871082,-0.17140211,-0.44810036
8,-1.6975948,0.13116007,1.852398
8,-1.1573169,0.5260238,0.78864574
10,-0.5999271,0.1955214,0.47892195
9,-1.2690507,0.051375695,1.5375596
10,-0.67500293,0.056485116,0.8784427
10,-2.1126792,0.29783022,2.0621805
9,-2.1558754,0.5336273,1.897819
10,-1.6122575,-0.4203118,2.7867076
8,-1.5457093,0.48837137,1.2301848
9,-1.3580662,0.35382056,1.307516
8,-1.4776677,0.33138418,1.2974948
9,0.1507352,0.68299294,-0.88111484
10,-2.406235,-0.27118063,3.276401
10,-0.050728638,0.41256553,-0.41578165
7,-0.99512374,0.13365357,1.1285112
7,-2.540972,0.57363695,2.2405658
7,0.29344174,0.68254596,-1.0613198
10,-1.0398462,0.34772444,0.81799245
9,-0.61392045,0.10277949,0.77575445
9,-1.5512581,0.010779411,1.9578148
8,-2.8699372,-0.26169723,3.757035
10,-0.8065722,0.68065387,0.15615222
10,-2.066549,-0.2671728,2.8570962
9,-0.08219674,0.49135387,-0.47061333
7,-1.6377007,0.09036583,1.8079886
10,-2.2606585,0.052907303,2.6161237
8,-0.3857846,0.4310429,-0.035595395
10,-1.7941799,-0.11159669,2.3681362
8,-1.3187243,0.5678627,0.8342779
10,-1.7346543,0.25346738,1.7403262
7,-1.1834381,0.4006434,1.1295694
7,-0.993079,-0.0059804693,1.3211623
10,-2.7515357,-0.35150188,3.7267127
10,-1.3491478,0.27229494,1.2595451
9,0.24110365,0.65014595,-0.9485725
10,-1.76603,-0.5913579,3.0191755
7,-1.6490986,0.17559306,1.8457544
10,0.2804759,0.54817766,-0.9208536
8,-0.91780806,0.34610736,0.7135716
10,-2.1118562,-0.9729056,4.078303
7,1.8378234,0.2441154,-2.2118378
10,2.6050143,-0.45899975,-2.2566447
8,-1.0548912,0.36464888,0.8722702
8,1.5533581,-0.13379815,-1.4468447
10,2.6002371,-0.17682119,-2.5980425
9,-1.4117726,-0.010264322,1.7131675
10,0.43581766,0.32869446,-0.78132784
7,-0.78281677,0.57438534,0.2859962
8,-0.27770042,0.04260783,0.47395775
10,-1.7802026,-0.48782188,3.0390222
7,-0.7960914,1.0085253,-0.2630354
7,-0.671601,0.47225618,0.20999426
10,-0.958425,0.35246575,0.6686067
7,-0.97265446,0.33002985,0.78891134
7,-1.4417604,0.30705655,1.3950088
9,-1.0199468,0.6380227,0.48756507
10,1.6065185,0.17916623,-1.8843682
10,-2.9104486,-0.37732583,3.960963
10,-1.1308936,0.3812672,0.85431516
10,-2.1014314,-0.070037544,2.771258
7,-1.100837,0.16588072,1.1147387
8,-0.7997339,0.39118916,0.5455835
10,-1.5082371,-0.2523042,2.2216353
10,-1.4019488,0.15692006,1.4924399
8,0.90189946,0.043694828,-0.9755676
10,-1.3851907,0.75237256,0.73615366
10,-1.1507154,0.62760663,0.67050505
7,-2.4429169,-0.20024572,3.2105951
8,-1.6785744,0.11961652,1.7828958
9,-0.8312219,-0.061047334,1.3120214
7,-1.7555169,0.15652935,1.9429998
10,-1.6793797,-0.5528268,2.8695087
10,0.18539083,0.13670681,-0.15390319
9,-1.1853092,0.22245973,1.1466408
9,0.078042045,0.25524014,-0.35481948
9,-2.2055383,-0.3232388,3.0863733
8,-2.2093449,-0.09415774,2.8275251
8,-0.7819862,0.3680247,0.58916837
9,-2.1311536,-0.49370128,3.3137991
9,-1.5620843,0.28377628,1.4261277
10,-0.48919618,0.31866074,0.32087314
10,-1.1668092,-0.18063828,1.7428541
8,-1.8776349,0.095314294,2.164618
10,-2.6969693,-0.5147488,3.9022334
9,-1.1397526,-0.035736367,1.6378868
8,-2.3424082,0.09268273,2.8193307
9,-1.3643371,0.5049448,0.9810445
10,0.5677617,0.21568294,-0.81177735
7,-1.4612558,-0.36424333,2.5004685
8,0.9253967,0.4359581,-1.4555023
10,-0.9939839,0.14949317,1.0217234
10,-2.2010834,-0.8035954,3.8507411
7,-0.8959753,0.5279681,0.47200343
8,-2.1971126,-0.3483774,3.1552608
10,-2.1993437,0.58904713,1.7746317
7,-1.9975739,-0.5093461,3.1706617
8,-0.96378815,0.45366305,0.691184
8,-0.664553,0.49865794,0.30086648
7,0.75517184,0.32456595,-1.1695173
10,-1.9064329,-0.26898336,2.7069426
7,-1.4821281,0.86350787,0.7997019
10,0.380436,0.3015194,-0.6950257
10,-1.0693318,0.1281237,1.0819306
7,-0.7856747,-0.05398184,1.1013945
8,0.3017835,0.61936784,-0.97694075
10,-2.8429873,-0.16995163,3.5456257
10,-1.1872554,-0.32070392,1.9701847
8,-1.287193,-0.2627573,2.1690874
7,-2.1222186,0.5724935,1.7547101
8,0.16119274,0.38335395,-0.55051553
10,-0.78115827,0.17524359,0.78363526
8,-0.3191142,0.4610281,-0.09353737
7,-1.389464,0.47095937,1.0639341
8,-2.1669488,-0.5249082,3.4190202
10,-1.4801421,-0.6405797,2.762939
10,-2.4299307,-0.16722743,3.1132007
9,-2.5174854,0.3634438,2.4428968
10,-0.019684128,0.8436105,-0.8236619
7,-0.9915716,0.36954528,0.69663155
9,-0.23361647,0.46903718,-0.24037108
9,-0.18549441,0.836228,-0.6891422
10,1.2517369,0.4843021,-1.8073484
9,0.24185571,0.14167976,-0.28560913
8,-1.1726878,-0.09333897,1.6600609
9,-1.4660807,0.60869396,1.0151316
8,-2.4582014,-0.7682674,4.107801
8,-2.7927961,-0.3210371,3.8886695
7,-1.2660978,0.22777899,1.3039899
7,-0.7486414,0.8360614,0.0011346936
10,-0.32260215,0.42519438,-0.04126977
10,0.5452442,0.6055222,-1.2554235
9,-1.1488385,-0.3271215,2.0258102
9,-2.2787316,0.30197626,2.3355618
8,-0.3939284,0.4493037,0.031779792
10,-2.302896,-0.866472,4.073665
10,-1.1469282,0.7178988,0.46061632
7,-2.1081975,-0.3060258,2.9395082
8,-0.59543866,0.74311864,-0.033432417
8,-2.3968937,0.71462715,1.956093
8,0.23895946,0.6462392,-0.9080704
10,-2.1776137,0.25169808,2.3495278
8,-1.2926366,0.25794017,1.3233604
10,-2.2825265,-0.4105786,3.3639696
7,-1.6625502,0.16422018,1.8402964
8,-2.393211,-0.4707337,3.5808086
10,-2.751083,-0.6042501,4.1149364
7,0.14790583,0.22398438,-0.38150126
8,-2.55428,-0.44341654,3.773526
8,1.9832852,0.27660316,-2.4780061
10,-2.044954,-0.4215063,2.9851997
7,-0.5317578,0.08779851,0.6522044
10,-2.323362,0.1262121,2.43851
8,0.03894526,0.116821274,-0.09343686
10,-2.0327942,-0.10451653,2.6015139
7,-1.5147908,-0.035583988,1.9674624
10,-2.6780524,0.08154701,2.9865508
9,-2.550637,0.12728684,2.81284
7,-0.92396325,0.11036195,1.0552944
10,-0.91008365,0.2910542,0.7678723
8,-2.0693722,0.09641125,2.354614
9,-0.8432569,0.084891,0.9457544
10,-1.8841064,-0.0860982,2.3264217
10,-1.9230233,-0.001262024,2.3371527
7,-1.9402343,-0.11573185,2.562812
10,-2.0291693,-0.5774218,3.4376976
9,-2.5455043,-0.4405948,3.687059
7,-0.9086786,0.40357095,0.7254525
8,-1.645742,0.009503126,1.9036881
10,0.1885198,0.056414254,-0.13534367
8,-2.0405612,0.57881874,1.6808444
8,-0.26011255,0.42448843,-0.17470503
8,-1.4549725,0.5481577,1.0292543
10,-0.619955,-0.07342942,1.0368798
7,-0.098299176,0.26204216,-0.12948304
10,-1.4305216,0.32608682,1.2880131
10,0.13489783,0.26188117,-0.39940143
10,-2.096572,-0.8781872,3.9472394
9,-1.3672639,0.25996572,1.442925
9,-0.85763496,0.5447208,0.35201752
7,0.35052285,0.41065937,-0.78204787
10,-2.088154,-0.1486006,2.702765
10,-2.3381243,0.31641775,2.417016
7,-0.6859732,0.085201226,0.8336304
8,-1.6542405,-0.026827708,2.0816948
8,-2.2332382,0.3696046,2.143853
9,-1.528351,0.372894,1.4019347
7,-0.60782033,0.55813766,0.21077737
10,-1.6414863,0.45745015,1.3929406
10,-2.1491342,-0.10146606,2.6740112
8,-1.887607,-0.2852701,2.7954133
10,-1.6752124,-0.5111105,2.8634548
9,-1.5235759,0.17796022,1.7260162
8,-2.0795887,-0.10625972,2.7050588
10,0.042832356,0.5667201,-0.63966703
8,-0.9037477,0.6101398,0.42451483
9,-1.2443559,0.513815,1.0846453
10,-2.463422,-0.020630047,2.9248612
8,-0.05829019,0.2774704,-0.15683255
10,-1.4120834,-0.8084349,3.060929
9,-2.597864,-0.36078846,3.6321106
8,-2.044866,-0.5945809,3.3111858
9,-2.1377587,-0.30932504,2.9505634
10,-0.7031002,-0.402556,1.5822788
7,-2.1123536,0.18311113,2.1754665
8,-0.9945877,-0.0943136,1.3649031
8,0.42669934,-0.009816516,-0.29689863
8,0.5208595,0.42898977,-1.0147089
9,-0.46440542,0.78565675,-0.29629073
8,-1.8884134,0.66177416,1.4099865
7,-0.7289993,0.42081875,0.3776328
7,-0.47398728,0.32341313,0.27866894
9,-2.16068,0.09990794,2.386191
8,-1.9101346,0.17525329,1.9863132
10,-1.2741632,0.04742606,1.4798919
8,-1.9097469,0.34545243,1.8323216
10,-1.9999422,-0.3079821,2.8416636
8,0.64721197,0.25257802,-0.9729334
8,-1.7493294,0.37437427,1.6463732
9,0.29857254,0.40270525,-0.775512
7,-2.5616307,-0.19590928,3.3336732
7,-1.6445532,0.7245289,1.1628233
10,-1.525523,0.22283019,1.6762855
10,-1.0747823,0.17543286,1.1039342
10,-2.5632668,-0.65922093,4.1162953
9,0.043871153,0.62237823,-0.7246456
7,-0.67819446,0.18879509,0.7534799
10,-1.978338,-0.28129512,2.867243
9,-1.8873429,0.65195775,1.4897134
8,-1.6000909,0.16164155,1.7398446
8,-1.6173943,0.5561459,1.3031194
10,-2.8447607,0.570769,2.6351824
10,-1.8235157,-0.45845008,2.8703947
9,0.07791689,-0.06628597,0.13226685
10,-0.48896962,0.8988744,-0.44174844
8,-1.4355423,-0.14842592,1.9568013
8,-1.6981316,0.56699127,1.4117104
8,-0.7788668,0.06020789,0.9571013
7,-2.2658172,-0.75530624,3.8596354
8,0.12130818,0.53229094,-0.662789
8,-2.200684,-0.5803196,3.5286124
7,-1.8240118,0.3522175,1.6633239
9,-1.4802359,-0.15454704,2.0548882
8,-0.98684335,0.57174873,0.5149046
7,-1.0665902,0.11502005,1.210787
9,-2.2231135,-0.037419945,2.6682804
8,-2.4997473,-0.093562186,3.093454
9,-1.6727339,0.57943743,1.3877038
10,-2.67317,0.25993162,2.8247142
9,-0.25568187,0.3632462,-0.124929704
10,-0.82159346,0.520214,0.38969046
8,0.38791978,0.73920417,-1.1930825
10,-2.251436,0.35594654,2.2459824
7,-0.8754969,0.7593323,0.14453426
9,-0.4839964,0.49991828,0.026573518
9,-2.1108534,0.1929717,2.2463276
10,0.014979664,0.5320703,-0.5889023
10,-2.9204988,-0.22160412,3.707234
7,0.59601754,0.25928694,-0.94902694
7,0.5111217,0.08742072,-0.5972353
10,-2.1924176,0.40153557,1.9875199
9,0.5073042,0.26532924,-0.7998758
9,-1.3755788,-0.028153181,1.6782054
7,-0.7228412,0.59012616,0.27409738
9,-1.4408276,0.5750091,1.0723188
10,-0.710603,0.37658888,0.41657448
9,0.49045134,0.18230163,-0.7371948
9,-2.8057241,0.1279745,3.2118745
10,-2.1040342,-0.049393788,2.5411706
10,0.06646407,0.39454365,-0.52208006
10,0.062432896,-0.0694234,0.203935
8,-1.8065777,0.21314862,1.8628168
9,-2.1379354,0.66566867,1.6599727
10,-0.5151629,0.5284877,-0.019495968
8,-0.82151365,1.0605491,-0.17107445
9,-1.9909712,0.4083377,1.9569693
8,-1.8334981,0.67801756,1.4444811
7,-1.1806656,0.30832273,1.0209985
7,-0.29090154,0.49279958,-0.17844433
10,-0.81963736,0.08484367,1.0745783
10,0.06316742,-0.03851127,0.118623696
10,-0.572101,0.57074237,0.12709543
8,-2.6404185,-0.3412776,3.604292
7,-0.18866147,0.25718212,0.01898925
9,0.32767212,0.27401996,-0.51565546
8,-0.96965545,0.30449224,0.83061904
10,-2.3056388,-0.599308,3.679249
8,0.15664679,0.46095532,-0.7086855
8,-1.1963241,0.44125473,0.87332016
9,-1.5937413,0.0080305785,1.9532025
8,-2.605176,-0.022656187,3.1239276
8,-1.8684177,-0.39707917,2.8122244
10,0.06419909,0.09387338,-0.105807
7,-1.0191453,0.28825963,0.886399
10,-0.09210399,0.57317936,-0.42738166
7,-0.92901796,0.35269773,0.71380645
8,-0.5382303,0.7086407,-0.08946762
9,-0.8752976,0.30992073,0.65098286
9,-2.602287,-0.3339467,3.5943255
7,-1.7577229,0.37064326,1.6891185
10,-1.6642479,-0.34900773,2.5715683
9,-1.024593,-0.39564884,1.9104764
7,-1.2653348,0.7989575,0.5981444
10,0.03812876,0.69441694,-0.7667554
10,-2.0581033,0.38062328,2.1039815
8,-1.6496551,-0.1746733,2.1728234
10,-1.2496974,0.3770874,1.0274663
9,0.56881785,0.5345675,-1.2078707
9,-1.2986814,-0.26759857,2.0882652
9,-1.3543787,0.07637788,1.6525608
10,-2.1513727,0.029320076,2.5153928
10,-1.3006582,-0.38180405,2.1435072
7,-0.62083924,0.17865263,0.5977067
10,-1.728809,0.529297,1.4008662
8,-2.7708504,0.53416824,2.669375
8,-1.7033741,0.32675004,1.6265539
8,-0.3049557,-0.11812244,0.64008874
10,0.7040455,0.49150777,-1.2569879
10,-2.0202665,0.012853861,2.3307908
8,0.5526949,0.39450115,-0.97065985
10,-2.7082684,0.05895017,3.0545642
8,-1.47855,0.2584253,1.5714139
9,-2.5074697,-0.27217567,3.3082952
10,-2.1366,-0.09505281,2.6018384
8,-2.0659473,0.65793985,1.5717967
10,-0.040511947,0.665736,-0.5784751
9,-1.9188638,-0.109941065,2.3191187
10,-1.6849988,0.54509497,1.2396942
9,-0.7071575,0.12514748,0.7404821
9,-2.5742743,-0.6611925,4.016869
10,-1.7314248,0.078384355,2.0197
9,-0.9582491,0.106951505,1.1407772
7,-1.0337436,0.4050086,0.7658864
9,-0.7108351,0.38164443,0.40875423
10,-2.709174,-0.1729095,3.5264692
10,-2.3332205,0.17654783,2.5536153
8,-0.618538,0.44415575,0.3234243
7,-0.38178837,0.24368815,0.25049093
10,-2.187553,-0.4756611,3.389839
10,-1.1087081,0.42873162,0.9096316
7,-2.236654,0.91442484,1.5438037
10,-0.4247706,0.21823603,0.41833368
9,-2.2648005,0.12927471,2.5281239
10,0.5873336,0.506976,-1.1675483
10,-1.5267739,0.8313012,0.8705709
8,-2.3333526,-0.46227694,3.4866538
10,-1.7819684,-0.29287207,2.6605823
8,-0.4317503,0.4062571,0.11668625
10,-2.295007,-0.6069734,3.5947502
8,-1.0640643,0.49141508,0.7867366
9,-2.0927148,0.66895866,1.7829734
9,-0.8526508,0.5864447,0.46853125
10,-0.31180114,0.68731844,-0.31595284
9,-2.2426162,-0.05703763,2.7987702
7,-2.5621004,-0.5549425,3.820786
10,-2.6590252,-0.61269605,4.0450225
10,-2.1734853,-0.5606812,3.4568748
7,-1.6973467,0.08102742,1.9332052
8,-1.8535831,0.51346946,1.64355
9,-1.3508341,0.29418397,1.3756936
10,-1.4519091,-0.22750945,2.0562656
10,0.92243165,0.3259644,-1.4571009
9,-3.0970812,0.05429426,3.5336199
8,-2.159866,0.024620071,2.5500388
8,-0.10457732,0.10181598,0.0351326
8,-0.14098616,0.63723314,-0.5081119
7,-2.6375043,-0.18192525,3.3359969
9,-0.27662587,0.42874193,-0.12503046
8,-1.4257145,0.19847707,1.605584
8,-0.70455307,0.6084213,0.1736972
8,-0.8476017,0.81828964,0.13937008
8,-0.17930105,0.4030267,-0.07711091
10,-1.6611834,0.3047105,1.5610342
8,-0.96313184,0.16436897,0.97211456
8,-0.27271968,0.5744525,-0.22004315
7,0.00020631775,0.55401677,-0.5434927
8,-0.10363947,0.5463231,-0.3463038
8,-2.3741605,-0.3907227,3.4103231
7,-2.5547507,0.1122119,2.9580247
10,-2.8103135,0.7748502,2.2220426
10,-2.048882,0.7071303,1.5146796
9,-1.7268004,0.3650869,1.6046034
10,-1.2202779,0.08596266,1.4989419
8,0.5615278,0.28401,-0.856977
7,-1.7233541,0.25326854,1.719128
9,0.30989283,0.14010766,-0.43074605
7,-0.58840185,0.67211336,0.011980817
7,-1.6156927,0.12229608,1.7197121
10,-2.524133,-0.3899498,3.685461
7,-2.0238209,-0.27581954,2.897933
10,-2.718181,0.15410767,2.9824855
10,-2.3665984,-0.1508549,3.208149
8,0.06474094,0.70797116,-0.76638746
10,-1.5969344,0.12110691,1.7727674
8,-1.5825373,0.018407851,1.8448492
9,-2.4838667,-0.4074267,3.5053165
8,-1.2777259,-0.047383666,1.6318922
7,0.80285555,0.66852736,-1.5835781
8,-0.94030255,-0.14751555,1.4849623
9,-1.3128141,0.073811136,1.71358
10,-1.9694055,-0.83643997,3.7786622
9,-0.99849147,0.01176174,1.2013923
10,-1.0416316,0.12301628,1.1585058
10,-0.46727505,0.780532,-0.2998819
9,-0.24418175,0.27675182,0.072866865
7,-0.32902163,0.41849434,-0.04695499
9,-0.31277847,0.32155395,0.08962182
7,-0.13168931,0.5220222,-0.41685185
8,-1.4139861,-0.4231618,2.3386362
10,-2.7508247,-0.2130289,3.5608397
10,-2.2732155,-0.12833321,2.8610432
8,-1.129563,0.5474272,0.7281521
10,-1.8190479,-0.41589057,2.795506
10,1.4617975,0.028364047,-1.5985353
8,-1.455448,0.06450551,1.6685894
10,-0.52649987,0.24948196,0.34990722
9,-1.8696669,-0.06816056,2.3839746
9,-1.7166485,1.0305476,0.8494118
10,0.19506502,0.75827533,-1.0578774
10,-0.89155126,0.24212746,0.8252024
7,-2.5574887,-0.37522274,3.5108657
10,-2.4178588,-0.24708629,3.3117473
10,-1.155737,0.32924712,0.9738759
7,-1.5327135,0.67500204,0.995877
10,-0.7911549,0.38722205,0.5500383
7,-0.91652155,0.34920454,0.74085975
8,-1.6530589,0.41018462,1.331346
8,-1.0614991,0.23883007,1.1234077
10,-2.8831809,-0.16330811,3.672895
9,-1.6141486,0.38616204,1.4504813
10,-1.4960029,-0.10121881,2.025048
7,0.9478003,0.14042534,-1.2014738
10,-2.3516486,0.066856116,2.6878405
10,-0.9809152,0.6569554,0.37318477
10,0.4506663,0.56565577,-1.0806478
7,-1.3655288,0.12913157,1.4730288
10,-1.9585103,-0.057763524,2.4359736
7,0.21535048,0.80141544,-1.0648692
7,-0.6411237,0.22100773,0.5328055
10,-1.1436858,0.36634892,0.9807731
10,-0.03156117,0.29627788,-0.23890778
10,-2.8986003,0.24115126,3.0748467
10,-0.3732199,0.2569018,0.2069118
10,-1.9320964,-0.03432881,2.3207872
10,-2.1227543,-0.5809221,3.5558577
8,0.423576,0.2501744,-0.62336683
8,-0.7575835,0.6142755,0.25895572
10,-2.8413954,0.48422962,2.6587536
9,-2.287469,0.32198554,2.283452
8,-0.43222252,0.65181303,-0.15185922
8,-2.6495652,-0.34755343,3.6735501
10,-0.7915018,-0.019824073,1.0883653
10,-2.128355,-0.13932611,2.7814467
9,-1.3104676,0.46632487,1.0328314
10,-2.7231343,-0.21154931,3.4583673
10,-2.0638156,-0.3135789,2.8950596
10,-0.9591135,0.027594,1.1181053
10,-1.5812709,-1.1304607,3.7364657
10,-2.6148071,-0.6300546,3.9950185
9,-2.3006718,0.012385726,2.729599
7,-0.6801263,0.25979477,0.4868162
8,-1.6497216,0.1368521,1.7999786
10,-2.4782302,-0.3602963,3.4095776
8,-2.117588,0.27149063,2.3266115
7,-2.614275,0.05273837,2.9994764
7,-1.1670257,-0.04513973,1.5495348
10,-1.7031914,-0.85598624,3.4418488
9,-2.2921238,-0.09462385,2.9298112
9,-2.1978338,0.47270685,1.9764029
10,-1.5387518,0.0021080002,1.8125445
8,-1.5406898,-0.022842616,1.8714267
8,-0.23259933,0.4578725,-0.14991
8,-1.7010494,-0.30459255,2.5583186
10,-2.0675738,-0.62535465,3.4343834
8,0.22846606,0.86556095,-1.0382258
10,-1.6509,0.27341837,1.6893553
10,-1.8948767,-0.043933764,2.3701315
10,-1.9718912,-0.16038257,2.5488284
8,-2.1504807,0.49584997,1.9653438
8,-0.036969397,0.15467237,-0.0148065165
8,-2.8663027,-0.21630828,3.6634529
10,-1.2215844,0.6641011,0.7849619
7,-1.5098577,0.65369076,1.07676
8,-0.6966098,0.40596032,0.3264973
10,-2.1640296,-0.8901249,3.970847
10,-1.570448,0.8168336,0.85884416
9,0.00094454363,0.39113045,-0.44476074
9,-2.2073724,-0.4902662,3.393606
9,-1.7167106,-0.053290308,2.108169
10,0.079921186,0.29724348,-0.34864184
8,-0.9109312,0.15869959,1.0140516
10,-1.9500344,0.8236529,1.2728746
8,-1.7656863,0.021637693,2.0842428
9,-2.2832906,-0.5241547,3.5306997
10,-0.689622,-0.19106022,1.2749693
8,-1.4169234,-0.06034252,1.9165312
9,-2.9616508,0.5236567,2.7856834
10,-1.5718204,0.30186856,1.4731476
7,-1.5150809,0.49162847,1.1358742
9,-0.0058702864,-0.015851382,0.23531458
9,-1.8789282,0.36665338,1.781619
9,0.4960633,0.7521583,-1.3378618
10,-1.7320354,0.0676647,2.0409625
7,0.27497017,0.16702694,-0.3999106
8,-0.57064253,0.006763287,0.86521345
10,-2.125973,0.19276723,2.2642224
7,-0.7204818,0.4992028,0.2915449
9,-0.9772581,0.12453872,1.1148359
10,-0.14936392,0.7883316,-0.70109284
10,-1.5639083,-0.047865286,2.0955293
9,-1.5541005,0.29624873,1.4206029
8,-1.9961203,0.6809637,1.4407712
9,0.5966348,0.65754783,-1.3373736
10,2.0252428,-0.2571227,-1.8576925
10,-2.2270026,0.1344695,2.513239
8,-1.12912,0.5146092,0.7133145
7,-0.45090836,0.4931056,-0.012982685
10,-1.9319223,-0.13498506,2.6697521
8,-2.308054,0.16092803,2.4304867
10,-1.1241958,0.46343166,0.8262715
9,0.020126525,0.29064572,-0.34386146
10,-2.9087915,-0.050440595,3.5006714
7,-0.71839285,0.7495285,0.044569
10,0.5813667,0.56775576,-1.1826147
8,-0.020509109,0.3105191,-0.293316
7,1.195092,0.37387592,-1.6818802
10,-2.5683484,-0.4802863,3.7503574
9,0.18350136,0.08111285,-0.10582248
8,-2.1189032,-0.11147134,2.7058446
8,-2.4806268,0.18731551,2.802412
7,-1.473257,0.53240246,1.1618899
10,0.27775544,0.22704624,-0.48507372
10,-1.4614227,0.5907246,0.94372463
7,-1.781913,0.11962785,1.9613065
8,-1.279053,0.30620646,1.1030434
10,-0.920823,0.3285005,0.7820923
7,0.25862694,0.3689682,-0.6797681
9,-0.60373557,0.6808587,0.012118768
10,-2.0468965,0.018856265,2.4011362
7,-0.341144,0.430211,-0.020799924
8,0.14419283,0.3580647,-0.5391102
10,-0.43275842,0.21469457,0.36860308
9,-1.7629727,0.38666338,1.6423786
8,-1.8033843,0.2372408,1.8608586
8,-1.7979355,0.15919198,1.9684023
8,-1.1512455,0.33547866,0.9609015
8,-1.0796598,0.42963403,0.8042471
10,-2.7988591,-0.4339249,3.9156063
9,-1.2237182,0.53381026,0.8333037
8,-2.4137278,0.019614846,2.7875292
10,-1.4845589,-0.35953957,2.4045904
10,-2.1099272,0.18749042,2.2894015
10,-2.2630873,-0.6375106,3.6366568
8,-1.993791,0.5939485,1.5929227
7,-0.8186074,-0.055718042,1.2883935
9,-1.8526921,0.29075265,1.9449465
10,0.21541563,0.45250547,-0.766688
10,-1.7347677,0.08886685,1.9449154
10,-1.9521532,0.01209338,2.4050448
7,0.94647,0.3045197,-1.3394488
10,-2.1103642,-0.97324824,4.083683
9,-1.9919357,-0.31855196,2.8492846
10,-1.106451,0.485555,0.75093335
9,-0.49207228,0.05968336,0.62223613
10,-1.3536203,0.2535982,1.2752007
7,-1.604433,0.96942466,0.72573894
9,-1.9141825,-0.33189672,2.721535
8,-1.7333453,0.47518414,1.5650958
7,-0.86810935,0.19925974,0.93899727
8,-1.5369756,0.49882305,1.154034
8,-1.9099046,-0.1138747,2.509962
8,-1.4195039,0.52804863,0.9788323
10,-2.12228,0.329163,1.9399759
10,-0.23859888,0.37358624,-0.076950915
10,-1.1993577,0.47064358,0.9473292
10,-2.1741014,0.5803509,1.7707708
10,-0.57008815,0.37191063,0.21794325
7,1.0995551,0.10889204,-1.2183958
8,-2.0094717,-0.43423462,3.1451926
9,-2.3847306,0.2142767,2.6140099
10,0.33682913,0.031231783,-0.24763599
9,-1.0511695,0.4234082,0.7236851
9,-0.26332772,0.44654346,-0.16538304
7,-0.865332,0.1776281,0.8990409
7,-0.33284426,0.3011207,0.06608203
7,0.051110324,0.80353177,-0.9057139
10,-2.02786,0.4010445,1.8803453
8,-1.7508701,-0.46502435,2.761025
8,-2.2261815,-0.2866196,3.0871162
10,-2.360983,0.44679385,2.239755
9,-1.8981683,-0.30732554,2.7052293
8,0.0674727,0.5298255,-0.63672763
10,-2.0968056,-0.0072958767,2.6447248
10,-1.3708106,-0.33570224,2.24683
8,-2.1036646,0.0022295415,2.5653515
8,-0.78863984,0.23819666,0.71812934
9,-2.308507,0.2804911,2.3007216
10,-1.9194205,-0.055426687,2.4226987
7,-0.081465125,0.26416868,-0.08491961
7,-1.2151517,0.32624394,1.0299491
10,-2.1270196,-0.0011739582,2.538486
10,-2.3170617,-0.7811475,3.9668584
9,-2.4470024,0.025470525,2.9909642
7,-0.2316052,0.25079525,0.10697866
10,-2.3812742,-0.15751384,3.0758758
7,-1.2220254,0.30570585,1.1084367
10,-1.2094504,-0.112509094,1.6334015
10,-1.6254535,-0.522948,2.8092365
7,-0.13031565,0.43514055,-0.29842052
8,-0.8039875,0.14296834,0.80469674
8,-1.9032047,-0.030676983,2.3517482
10,0.67337507,0.33391887,-1.0593195
8,-0.9560364,0.88348126,0.19687977
10,-0.8781145,0.38673437,0.6204541
9,0.23991019,0.26484454,-0.5392249
10,-2.6788151,0.4520012,2.412955
10,-1.1935078,0.47727984,0.8055507
10,-0.76602954,0.40852088,0.45969036
9,-1.5973254,-0.094911546,2.0197287
10,-2.352105,0.26227635,2.3822684
7,0.50800586,0.23823725,-0.69593143
10,-1.2649187,0.3728506,0.9862035
8,-1.1857499,-0.15086058,1.791494
10,-1.8846526,-0.9320759,3.805003
8,-1.7284234,0.22027875,1.7506055
10,-0.9888248,-0.009002864,1.4213752
